timestamp,event_type,host,username,ip_or_dest,process_name,description,mitre_technique,severity
2026-03-11T08:00:00,email,WKSTN-22,mgarcia,198.51.100.44,,Inbound email with invoice-themed attachment,T1566.001,Medium
2026-03-11T08:07:00,process,WKSTN-22,mgarcia,,WINWORD.EXE,User opened malicious document; spawned cmd.exe,T1204.002,Medium
2026-03-11T08:14:00,process,WKSTN-22,mgarcia,,powershell.exe,PowerShell downloaded payload from hxxp://203.0.113.88/ld.ps1,T1059.001,Medium
2026-03-11T08:21:00,auth,SRV-FILE-01,mgarcia,10.0.2.122,,SMB logon using stolen user credentials,T1078,Medium
2026-03-11T08:28:00,process,SRV-FILE-01,mgarcia,,rundll32.exe,Remote execution from admin share,T1218.011,Medium
2026-03-11T08:35:00,auth,DC-01,backup_svc,10.0.0.21,,Service account used for PsExec lateral movement,T1021.002,Medium
2026-03-11T08:42:00,network,SRV-FILE-01,backup_svc,203.0.113.200,,Outbound archive upload to external IP,T1041,High
2026-03-11T08:49:00,process,SRV-FILE-01,backup_svc,,vssadmin.exe,Shadow copies deleted,T1490,High
2026-03-11T08:56:00,file,SRV-FILE-01,backup_svc,,lockbit_readme.txt,Ransom note created across shares,T1486,High
2026-03-11T09:03:00,process,SRV-FILE-01,backup_svc,,lockbit.exe,Encryption process launched,T1486,High
