timestamp,log_source,event_type,src_ip,dest_ip,user,action,bytes_in,bytes_out,dest_port,protocol,description,event_id,mitre_tactic,mitre_tech
2025-02-20 08:00:00,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,363,114,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:00:00,webserver01,authentication,198.51.100.10,10.0.1.10,administrator,failed,397,137,22,SSH,Failed password from 198.51.100.10 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:00:08,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,206,194,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:00:15,webserver01,authentication,198.51.100.10,10.0.1.10,admin,failed,259,112,22,SSH,Failed password from 198.51.100.10 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:00:16,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,270,131,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:00:24,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,257,117,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:00:30,webserver01,authentication,198.51.100.10,10.0.1.10,svcaccount,failed,271,158,22,SSH,Failed password from 198.51.100.10 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:00:32,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,388,113,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:00:40,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,373,194,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:00:48,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,339,111,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:00:56,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,351,154,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:01:04,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,208,103,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:01:12,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,223,127,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:01:20,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,259,164,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:01:28,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,354,103,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:01:36,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,343,125,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:01:44,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,383,183,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:01:52,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,379,169,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:02:00,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,307,128,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:02:00,webserver01,authentication,198.51.100.11,10.0.1.10,root,failed,241,147,22,SSH,Failed password from 198.51.100.11 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:02:08,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,314,175,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:02:15,webserver01,authentication,198.51.100.11,10.0.1.10,root,failed,253,185,22,SSH,Failed password from 198.51.100.11 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:02:16,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,271,100,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:02:24,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,394,120,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:02:30,webserver01,authentication,198.51.100.11,10.0.1.10,root,failed,379,187,22,SSH,Failed password from 198.51.100.11 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:02:32,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,378,154,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:02:40,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,287,135,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:02:45,webserver01,authentication,198.51.100.11,10.0.1.10,admin,failed,355,181,22,SSH,Failed password from 198.51.100.11 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:02:48,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,239,127,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:02:56,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,395,143,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:03:00,webserver01,authentication,198.51.100.11,10.0.1.10,administrator,failed,336,193,22,SSH,Failed password from 198.51.100.11 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:03:04,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,226,111,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:03:12,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,297,112,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:03:15,webserver01,authentication,198.51.100.11,10.0.1.10,administrator,failed,241,159,22,SSH,Failed password from 198.51.100.11 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:03:20,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,291,144,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:03:28,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,354,133,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:03:30,webserver01,authentication,198.51.100.11,10.0.1.10,svcaccount,failed,269,181,22,SSH,Failed password from 198.51.100.11 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:03:36,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,211,193,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:03:44,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,317,168,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:03:45,webserver01,authentication,198.51.100.11,10.0.1.10,jsmith,failed,256,187,22,SSH,Failed password from 198.51.100.11 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:03:52,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,231,148,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:04:00,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,220,170,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:04:00,webserver01,authentication,198.51.100.12,10.0.1.10,admin,failed,258,104,22,SSH,Failed password from 198.51.100.12 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:04:08,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,275,180,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:04:15,webserver01,authentication,198.51.100.12,10.0.1.10,root,failed,302,134,22,SSH,Failed password from 198.51.100.12 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:04:16,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,358,146,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:04:24,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,347,124,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:04:30,webserver01,authentication,198.51.100.12,10.0.1.10,admin,failed,254,172,22,SSH,Failed password from 198.51.100.12 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:04:32,webserver01,authentication,203.0.113.50,10.0.1.10,admin,failed,380,108,22,SSH,Failed password for admin from 203.0.113.50 port 22 ssh2,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:04:45,webserver01,authentication,198.51.100.12,10.0.1.10,root,failed,254,183,22,SSH,Failed password from 198.51.100.12 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:04:45,webserver01,authentication,203.0.113.50,10.0.1.10,admin,success,350,250,22,SSH,Accepted password for admin from 203.0.113.50 port 22 ssh2,4624,Initial Access,T1078 – Valid Accounts
2025-02-20 08:05:00,webserver01,authentication,198.51.100.12,10.0.1.10,svcaccount,failed,301,182,22,SSH,Failed password from 198.51.100.12 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:06:00,webserver01,authentication,198.51.100.13,10.0.1.10,administrator,failed,267,117,22,SSH,Failed password from 198.51.100.13 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:06:15,webserver01,authentication,198.51.100.13,10.0.1.10,administrator,failed,390,171,22,SSH,Failed password from 198.51.100.13 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:06:30,webserver01,authentication,198.51.100.13,10.0.1.10,jsmith,failed,267,195,22,SSH,Failed password from 198.51.100.13 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:06:45,webserver01,authentication,198.51.100.13,10.0.1.10,jsmith,failed,309,174,22,SSH,Failed password from 198.51.100.13 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:07:00,webserver01,authentication,198.51.100.13,10.0.1.10,svcaccount,failed,292,128,22,SSH,Failed password from 198.51.100.13 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:07:15,webserver01,authentication,198.51.100.13,10.0.1.10,administrator,failed,330,163,22,SSH,Failed password from 198.51.100.13 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:08:00,webserver01,authentication,198.51.100.14,10.0.1.10,admin,failed,228,119,22,SSH,Failed password from 198.51.100.14 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:08:15,webserver01,authentication,198.51.100.14,10.0.1.10,administrator,failed,374,154,22,SSH,Failed password from 198.51.100.14 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:08:30,webserver01,authentication,198.51.100.14,10.0.1.10,jsmith,failed,216,149,22,SSH,Failed password from 198.51.100.14 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:09:40,firewall01,network,10.0.1.10,185.220.101.45,admin,allowed,1867,3826170,443,HTTPS,Large outbound transfer to suspicious external IP 185.220.101.45,5156,Exfiltration,T1041 – Exfiltration Over C2 Channel
2025-02-20 08:10:00,webserver01,authentication,198.51.100.15,10.0.1.10,jsmith,failed,319,167,22,SSH,Failed password from 198.51.100.15 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:10:15,webserver01,authentication,198.51.100.15,10.0.1.10,root,failed,341,101,22,SSH,Failed password from 198.51.100.15 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:10:30,webserver01,authentication,198.51.100.15,10.0.1.10,admin,failed,374,168,22,SSH,Failed password from 198.51.100.15 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:10:45,webserver01,authentication,198.51.100.15,10.0.1.10,root,failed,396,182,22,SSH,Failed password from 198.51.100.15 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:11:00,webserver01,authentication,198.51.100.15,10.0.1.10,root,failed,228,137,22,SSH,Failed password from 198.51.100.15 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:11:15,webserver01,authentication,198.51.100.15,10.0.1.10,svcaccount,failed,240,158,22,SSH,Failed password from 198.51.100.15 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:12:00,webserver01,authentication,198.51.100.16,10.0.1.10,root,failed,328,197,22,SSH,Failed password from 198.51.100.16 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:12:15,webserver01,authentication,198.51.100.16,10.0.1.10,administrator,failed,329,113,22,SSH,Failed password from 198.51.100.16 – distributed brute force,4625,Credential Access,T1110 – Brute Force
2025-02-20 08:12:30,webserver01,authentication,198.51.100.16,10.0.1.10,root,failed,363,164,22,SSH,Failed password from 198.51.100.16 – distributed brute force,4625,Credential Access,T1110 – Brute Force
